"No","Text","Izohli","SurahNo","AyahNo"
"76:21",Устларида яшил ипакдан юпқа ва қалин кийимлари бор. Кумуш билакузуклар тақишган. Рабби уларга покиза ичимлик ичгизган.,"",,
"76:22",Сизнинг ажр-мукофотингиз ана шу. Сайъ-ҳаракатингиз зое кетмади!,"",,
"76:23",Биз Сенга Қуръонни танзил ила нозил қилдик.,"",,
"76:24","Бас, Раббингнинг ҳукми учун сабр қил, ва улардан ҳеч бир осий ёки нонкўрга бўйсунма.","",,
"76:25",Тонг ва оқшом Раббингнинг Исмини зикр қил.,"",,
"76:26",Кечанинг бир қисмида Унга сажда қил ва узоқ кечалар Уни тасбиҳ этгин!,"",,
"76:27","Улар бу ўткинчини севади, Оғир Кунга бепарво.","",,
"76:28","Уларни Биз яратганмиз, уларнинг бўғимларини маҳкам қилганмиз; истаганда уларни бошқалар билан алмаштирамиз.","",,
"76:29","Бу бир Эслатмадир. Ким истаса, Рабби сари йўл олади.","",,
"76:30","Аллоҳ истамаса, сизлар истамассиз. Ҳақиқатан, Аллоҳ - Алим ва Ҳаким/ Илм ва Ҳикмат Эгаси.","",,
"76:31",Ўзи хоҳлаганни раҳматига дохил айлайди. Золимларга эса Аламли Азоб ҳозирлаган.,"",,
"77:1","Кетма-кет юборилганлар,","",,
"77:2","Эсиб совурганлар,","",,
"77:3","Ҳам атрофга ёйганлар,","",,
"77:4","Фарқларни айирганлар,","",,
"77:5","Ўгит қолдирганлар,","",,
"77:6",Узр ёки огоҳ этиш учун:,"",,
"77:7","Сизга қилинган ваъда, ҳаққирост келгусидир:","",,
"77:8","Юлдузлар ўчганида,","",,
"77:9","Осмон ёрилганида,","",,
"77:10","Тоғлар титилганида,","",,
"77:11","Ваъдалар вақти тайин қилинганида,","",,
"77:12","Белгиланган Кун учун,","",,
"77:13",Яъни Фасл/Ажралиш Куни учун.,"",,
"77:14","Фасл/Ажралиш Куни нима, биласанми?","",,
"77:15",У Кунда Ёлғон санагувчиларнинг ҳолига вой!,"",,
"77:16",Ўтганларни ҳалок этмадикми?,"",,
"77:17",Кейингиларни ҳам уларга эргаштирамиз.,"",,
"77:18",Жиноятчиларга ана шундай муомала қиламиз.,"",,
"77:19",У Кунда Ёлғон санагувчиларнинг ҳолига вой!,"",,
"77:20",Сизни ҳақир суюқликдан яратмадикми?,"",,
"77:21",Ва мустаҳкам қароргоҳга ўрнатмадикми?,"",,
"77:22",Маълум ўлчовгача.,"",,
"77:23","Унга ўлчов бердик, Биз қандай ҳам гўзал ўлчов бергувчимиз.","",,
"77:24",У Кунда Ёлғон санагувчиларнинг ҳолига вой!,"",,
"77:25",Ерни жамланиш ўрни қилмадикми?,"",,
"77:26","Ҳам тириклар, ҳам ўликлар учун.","",,
"77:27",Унда баланд тоғлар яратмадикми? Сизга тоза сув ичирмадикми?,"",,
"77:28",У Кунда Ёлғон санагувчиларнинг ҳолига вой!,"",,
"77:29",Қани йўл олинг ёлғон санаганингиз сари,"",,
"77:30",Йўл олинг уч шуъбали кўланка сари,"",,
"77:31","У на соя беради, на оловдан қўрийди,","",,
"77:32","у учқунлар сочади - ҳар бири қасрдек,","",,
"77:33",у учқунлар худди сарғиш туядек.,"",,
"77:34",У Кунда Ёлғон санагувчиларнинг ҳолига вой!,"",,
"77:35","Бу Кун - улар гапира олмайди,","",,
"77:36",Узр учун рухсат ҳам берилмайди.,"",,
"77:37",У Кунда Ёлғон санагувчиларнинг ҳолига вой!,"",,
"77:38",Мана шу Фасл/Ажралиш Куни. Сизни ва ўтганларни тўпладик.,"",,
"77:39","Агар бирор ҳийлангиз бўлса, қани ишлатинг.","",,
"77:40",У Кунда Ёлғон санагувчиларнинг ҳолига вой!,"",,
"77:41","Лекин тақво эгалари соялар остида, булоқлар бошида,","",,
"77:42","Кўнгиллари тусаган мевалар аро,","",,
"77:43","Қилган амалларингиз эвазига, енглар-ичинглар!","",,
"77:44",Яхшилик қилгувчиларга ана шундай муомала қиламиз..,"",,
"77:45",У Кунда Ёлғон санагувчиларнинг ҳолига вой!,"",,
"77:46","Еб-ичиб қолинг, бироз баҳраманд бўлинг, сиз Жиноятчиларсиз!","",,
"77:47",У Кунда Ёлғон санагувчиларнинг ҳолига вой!,"",,
"77:48","Уларга: “Рукуъ қилинг”, дейилса, рукуъ* қилмайдилар. (Рукуъ - буйруққа шартсиз бўйсуниш)","",,
"77:49",У Кунда Ёлғон санагувчиларнинг ҳолига вой!,"",,
"77:50",Бундан кейин яна қайси гапга/ҳадисга ишонадилар?,"",,
"78:1",Ўзаро нима ҳақда сўрашмоқда?,"",,
"78:2",Буюк Хабар ҳақида (38:67),"",,
"78:3",Улар у ҳақда ихтилофда.,"",,
"78:4",Йўқ! Яқинда билиб олишади.,"",,
"78:5",Яна бир бор Йўқ! Яқинда билиб олишади.,"",,
"78:6",Ерни бешик қилиб бермадикми?,"",,
"78:7",Тоғларни қозиқ қилиб бермадикми?,"",,
"78:8",Ва сизларни жуфтлар ҳолида яратмадикми?,"",,
"78:9","Уйқунгизни ором қилдик,","",,
"78:10","Тунни эса либос қилдик,","",,
"78:11","Кунни тириклик вақти қилдик,","",,
"78:12","Тепангизда етти шиддатли само бино этдик,","",,
"78:13","Ва порлоқ ёритган чироқ яратдик,","",,
"78:14","Ва мўл сув туширдик зич булутлардан,","",,
"78:15","Улар билан дону-наботот,","",,
"78:16",Туташ боғлар чиқариш учун.,"",,
"78:17","Ҳақиқатан, Фасл/Ажралиш Куни (яхши ва ёмон ораси айриладиган Кун) вақти тайин этилган.","",,
"78:18","Сур чалинган Кунда, сиз гуруҳлар ҳолида келасиз.","",,
"78:19","Само очилади, эшиклар бўлади,","",,
"78:20","Тоғлар юритилади, сароб бўлади.","",,
"78:21",Жаҳаннам пистирма жойи бўлади.,"",,
"78:22",Туғёнга кетганлар учун қайтиш жойи у.,"",,
"78:23",Асрлар бўйи қолинади унда.,"",,
"78:24","Унда на бир салқинлик, на бир ичгулик тотадилар,","",,
"78:25","Нуқул қайноқ сув ва йиринг,","",,
"78:26","Уларга лойиқ эваз ўлароқ,","",,
"78:27","Улар ҳеч қандай Ҳисобни умид қилмас эдилар,","",,
"78:28",Оятларимизни ёлғон санаб инкор этардилар.,"",,
"78:29",Биз эса барча нарсани санаб ёзиб қўйгандик.,"",,
"78:30","Тотинглар, сизга фақат Азобни зиёда қиламиз.","",,
"78:31",Тақво эгалари учун ютуқлар,"",,
"78:32","Боғлар, узумзорлар,","",,
"78:33","Тенг етилган шингиллар,","",,
"78:34","Тўла-тўла қадаҳлар,","",,
"78:35","Унда бееҳуда сўз ҳам, ёлғон ҳам эшитмаслар;","",,
"78:36",Бу - Раббингдан мувофиқ ажру-мукофот,"",,
"78:37",Осмонлару-Ернинг ва иккиси орасининг Рабби. Раҳмоннинг ҳузурида берухсат хитоб қилинмас.,"",,
"78:38","Кун келади, Руҳ ва Малаклар саф бўлиб туради. Раҳмон изн берганидан бошқа ҳеч ким гапирмайди, улар ҳам фақат ҳақни сўйлайди.","",,
"78:39","Ана ўша Кун Ҳақиқат. Ким истаса, Рабби сари йўл олади.","",,
"78:40","Сизларни яқин азобдан огоҳ этдик. У Кунда киши ўз қилмишига назар солади, кофир эса: “Кошки тупроқ бўлсам!” дейди.","",,
"79:1","Суғуриб чиқарганлар,","",,
"79:2","Енгил тин олганлар,","",,
"79:3","Сузиб-оқиб борганлар,","",,
"79:4","Пойгалашиб, ўзганлар,","",,
"79:5",Ишни тадбир этганлар!,"",,
"79:6","У Кунда ўша шовқин ларзага солади,","",,
"79:7",Ортидан яна бир шовқин келади.,"",,
"79:8","У Кунда қалблар даҳшатдан титрайди,","",,
"79:9",Кўзлари қўрқувдан тубан боқади.,"",,
"79:10",Дейдиларки: “Биз ростдан ҳам шу чуқурда эски ҳолимизга қайтариламизми?,"",,
"79:11",Суяклар чириб бўлгандан кейин ҳамми?,"",,
"79:12","Ундай эса, бу қайтиш - бой бериш-ку”.","",,
"79:13","Ҳолбуки, биргина Ҳайқириқ,","",,
"79:14",Ва улар дарҳол майдонда уйғоқ.,"",,
"79:15",Мусонинг ҳадиси/ҳикояси келдими сенга?,"",,
"79:16","Мана, Рабби муқаддас Тува водийсида унга хитоб қилди:","",,
"79:17","“Фиръавнга бор, зеро у Туғёнга кетди.","",,
"79:18",Унга айт: “Покланиш истармисан?,"",,
"79:19","Сенга Раббинг сари йўл кўрсатайин, токи Унинг ҳимоясига қиргайсан”.","",,
"79:20",Унга буюк оят-далилларни кўрсатди.,"",,
"79:21","Лекин у ёлғон санади, бўйин товлади.","",,
"79:22","Сўнг юз ўгириб, ишга киришди.","",,
"79:23-24","Тўплаб, бақирди: “Мен Сизнинг Энг Олий Раббингизман!”","",,
"79:23-24","Тўплаб, бақирди: “Мен Сизнинг Энг Олий Раббингизман!”","",,
"79:25",Аллоҳ уни Илк ва Сўнгги Азоб билан ушлади.,"",,
"79:26",Бунда тақво эгалари учун оят-ибрат бор.,"",,
"79:27","Яратилиш жиҳатидан сиз кучлимисиз ёки Самоми? Уни яратди,","",,
"79:28","Қалинлигини кўтариб, тартибга келтирди,","",,
"79:29","Тунни қоплаб, қорайтирди, Тонгни оттирди,","",,
"79:30","Шундан сўнг у Ерни ёйиб текислади,","",,
"79:31","Ундан сув ва яйловлар чиқарди,","",,
"79:32","Тоғларни ўрнатди,","",,
"79:33",Сиз ва чорвангиз тириклиги учун.,"",,
"79:34","Барча нарсани бостирадиган улкан фалокат келганда,","",,
"79:35",У Кунда инсон нималар ортидан чопганини эслайди.,"",,
"79:36",Кўриб турганлар учун жаҳаннам ўртага чиқарилади.,"",,
"79:37","Кимки ҳаддидан ошса/Туғёнга кетса,","",,
"79:38","Ва шу дунё ҳаётини афзал кўрса,","",,
"79:39",Унинг борар жойи жаҳаннамдир.,"",,
"79:40","Кимки Раббининг мақомидан хайиқиб, ҳаводан/ғаразли истаклардан тийилса,","",,
"79:41",Унинг борар жойи жаннатдир.,"",,
"79:42",Сендан Қиёмат Соати ҳақида сўрайдилар: “Қачон келади ўзи?”,"",,
"79:43","Сен қайда-ю, унинг вақтини эслатиш қайда?!","",,
"79:44",Бунинг илми ёлғиз Раббингга оид.,"",,
"79:45",Сен фақат Ундан хайиққанларни огоҳ этувчисан холос.,"",,
"79:46","Уни кўрганларида, худди бир оқшом ёки тонгдан бироз вақт қолгандек бўлишади.","",,
"80:1","Хўмрайди, юз ўгирди,","",,
"80:2",Кўзи ожиз/Аъмо келган эди.,"",,
"80:3","Сен қайдан биласан, эҳтимол у покланар?","",,
"80:4","Ё Ўгитни тинглар-да, унга фойдаси тегар?","",,
"80:5","Аммо ўзини беҳожат санаганга,","",,
"80:6","Сен ўшанга интиласан,","",,
"80:7","Мабодо улар покланмаса, сенга не зарар?","",,
"80:8","Лекин сенга ошиқиб келганга,","",,
"80:9","Ҳурмат билан келганга,","",,
"80:10",Сен унга “бандсан”.,"",,
"80:11",Аммо йўқ! Бу бир Эслатма холос.,"",,
"80:12","Истаган эслатма олади,","",,
"80:13-14","Мукаррам, қадри олий, покиза саҳифаларда","",,
"80:13-14","Мукаррам, қадри олий, покиза саҳифаларда","",,
"80:15-16",Етказувчи Элчилар - Мукаррам холис қуллар - қўлидаги Эслатма...,"",,
"80:15-16",Етказувчи Элчилар - Мукаррам холис қуллар - қўлидаги Эслатма...,"",,
"80:17",Инсон бунчалар нонкўр-а!,"",,
"80:18",Уни нимадан яратди?,"",,
"80:19","Нутфадан. Яратди, шакл берди,","",,
"80:20","Сўнг йўлини осон қилди,","",,
"80:21","Сўнг унга ўлим берди, қабрга киритди,","",,
"80:22","Сўнг истаган пайтда уни тирилтириб чиқарди,","",,
"80:23",Аммо Йўқ! У ўзига буюрилганни қилмади.,"",,
"80:24",Инсон таомига бир назар солсин.,"",,
"80:25",Биз сувни мўл ёғдирдик.,"",,
"80:26","Кейин Ерни/тупроқни ёрдик,","",,
"80:27","Ва унда донларни ундирдик,","",,
"80:28","Узум ва кўкатларни,","",,
"80:29","Зайтун ва хурмоларни,","",,
"80:30","Зич ва мўл боғларни,","",,
"80:31","Мева ва яйловларни,","",,
"80:32",Сизга ва чорвангиз эҳтиёжига яраши учун.,"",,
"80:33","Қачонки шиддатли сас келиб урганда,","",,
"80:34","У Кунда инсон қочади: оға-инисидан,","",,
"80:35","Ота-онасидан,","",,
"80:36","Хотинидан, ўғилларидан.","",,
"80:37",У Кунда ҳар бирининг етарли ғами-ташвиши бўлади.,"",,
"80:38","У Кунда ёруғ юзлар бор,","",,
"80:39","Қувонч ва кулгу тўла,","",,
"80:40",У Кунда ғуборли юзлар бор.,"",,
"80:41",Қаро зулмат қоплаган.,"",,
"80:42",Ана ўшалар Ҳақни инкор этган кофирлар ва гуноҳларга ботган фожирлар...,"",,
"81:1","Қуёш кўр этилганда,","",,
"81:2","Юлдузлар тўкилганда,","",,
"81:3","Тоғлар юритилганда,","",,
"81:4","Қариндошлар маъноси қолмаганда, ","",,
"81:5","Ёввойи ҳайвонлар йиғилганда,","",,
"81:6","Денгизлар қайнатилганда,","",,
"81:7","Жонлар гуруҳларга айрилганда,","",,
"81:8-9","Тириклайин кўмилган қиздан, қайси гуноҳи учун ўлдирилгани сўралганда,","",,
"81:8-9","Тириклайин кўмилган қиздан, қайси гуноҳи учун ўлдирилгани сўралганда,","",,
"81:10","Саҳифалар ёйилганда,","",,
"81:11","Осмон шилиб олинганида,","",,
"81:12","Жаҳаннам қиздирилганда,","",,
"81:13","Жаннат яқинлатилганда,","",,
"81:14",Ҳар бир жоннинг нима ҳозирлагани маълум бўлади.,"",,
"81:15","Йўқ! яширинганлар* ила қасам, (*кундузи яширинган юлдузлар)","",,
"81:16","Ва ўз орбитасида сузганлар ила,","",,
"81:17","Ва қоплаётган тун ила,","",,
"81:18","Ва нафас ола бошлаган тонг ила қасамки,","",,
"81:19",У улкан лутф-карам қилинган Расулнинг айтганидир.,"",,
"81:20","Қувват эгасининг, Аршнинг Раббининг юборган Расул.","",,
"81:21","Унга бўйсунилади, унга ишонилади. (4:64)","",,
"81:22",Ҳамроҳингиз асло мажнун эмас.,"",,
"81:23","Уни* очиқ уфқда кўрди. (*81:1-14 оятлардаги Ғайб хабарларини тўлиқ қамрай олди, сўнгги уфққача кўра олди - 53:1-18)","",,
"81:24",У Ғайбни очиқ баён* қилади - яширмайди. (*Баён қилиш-яширмаслик - 3:187; 16:44),"",,
"81:25","У шайтони-рожимнинг/уйдириб адаштирувчининг айтгани эмас,","",,
"81:26",Қайга қараб кетмоқдасиз?,"",,
"81:27",У Оламлар учун бир Эслатмадир -,"",,
"81:28",Сиздан Тўғри Йўлда юрмоқ истаганлар учун;,"",,
"81:29","Нима истасангиз ҳам, Аллоҳнинг - Оламларнинг Раббининг - истагидан ташқари эмас.","",,
"82:1","Само ёрилганида,","",,
"82:2","Юлдузлар сочилганда,","",,
"82:3","Денгизлар тоштирилиб,","",,
"82:4","Қабрлар чиқарилганда,","",,
"82:5",Ўшанда ҳар бир жоннинг қилгани ва тарк этгани маълум бўлади.,"",,
"82:6-7-8","Эй инсон, сени мукаррам қилган Раббинг ҳақда сени нима алдаб қўйди? У сени бекаму-кўст яратганди, истагани суратда таркиб этганди?","",,
"82:6-7-8","Эй инсон, сени мукаррам қилган Раббинг ҳақда сени нима алдаб қўйди? У сени бекаму-кўст яратганди, истагани суратда таркиб этганди?","",,
"82:6-7-8","Эй инсон, сени мукаррам қилган Раббинг ҳақда сени нима алдаб қўйди? У сени бекаму-кўст яратганди, истагани суратда таркиб этганди?","",,
"82:9","Аммо йўқ! Аксинча, Сизлар Дин Кунини ёлғон санайсиз","",,
"82:10",Устингизда Кузатувчи* бор - (*82:5 ҳар амалингиздан хабар берувчи Зот - 86:4),"",,
"82:11","Қолдирмай тўлиқ қайд этиб боргувчи,","",,
"82:12",Сизнинг ҳар бир феълингизни билгувчи.,"",,
"82:13",Яхшилар - жаннатнинг бағрида.,"",,
"82:14",Ёмонлар - дўзах қаърида.,"",,
"82:15",Дин Кунида унга улоқтирилади.,"",,
"82:16",Ундан асло қутулолмайди.,"",,
"82:17","Дин Куни/Ўзаро Ҳақлар ўталадиган Кун нима, биласанми?","",,
"82:18","Яна бир бор - Дин Куни/Ўзаро Ҳақлар ўталадиган Кун - нима, биласанми?","",,
"82:19","Шундай Кунки, унда ҳеч ким ҳеч ким учун бирор нарсага молик эмас, барча Амр/Иш ёлғиз Аллоҳнинг.","",,
"83:1",Ўлчовни ноҳақ ўлчовчилар ҳолига вой!,"",,
"83:2","Улар одамлардан олишда, тўлиқ ўлчаб олади,","",,
"83:3","Ўзлари ўлчаб беришда, уриб қолади.","",,
"83:4",Наҳотки улар қайта тирилиб турғазилиши ҳақида ҳеч ўйламайди?,"",,
"83:5",Улуғ бир Кунда,"",,
"83:6",Одамлар у Кунда Оламларнинг Рабби ҳузурида турғазилади.,"",,
"83:7",Йўқ асло! Ҳақиқатан фожирларнинг қайдлари Сижжинда/Қуйи Зиндонларда.,"",,
"83:8","Сижжин нима, биласанми?","",,
"83:9",Ёзиб битилган/Рақамланган Китоб.,"",,
"83:10",У Кунда Ёлғон санагувчиларнинг ҳолига вой!,"",,
"83:11","Улар Дин Кунини/ўзаро Ҳақлар ўталадиган Кунни - ёлғон санайди,","",,
"83:12","У Кунни фақат тажовузкор, гуноҳга ботганлардан ўзга ҳеч ким Ёлғон санамайди.","",,
"83:13","Унга оятларимиз ўқилганда, “Ўтганларнинг афсонаси” дейди.","",,
"83:14","Йўқ, аксинча! Қилган қилмишлари дастидан уларнинг қалблари тамоман қорайган.","",,
"83:15",Аммо Йўқ! У Кунда улар Рабби ҳузурида ораси тўсилади. (2:174),"",,
"83:16",Сўнгра эса албатта Жаҳаннамга улоқтирилади.,"",,
"83:17",Сўнг уларга дейилади: “Сизнинг ёлғон деганингиз айнан мана шу!”,"",,
"83:18","Йўқ асло! Тақво эгаларининг қайдлари Иллиюнда*, (*Юксак/Олий мартабада)","",,
"83:19","Иллиюн нима, биласанми?","",,
"83:20",Ёзиб битилган/Рақамланган Китоб.,"",,
"83:21",Қурбат аҳли/Аллоҳга яқинлатилганлар унга гувоҳ бўлади:,"",,
"83:22","Ҳақиқатан, тақво эгалари неъматлар ичида.","",,
"83:23","Сўриларда суяниб, атрофга назар ташлайди.","",,
"83:24",Неъматдан порлаган юзларидан танилади.,"",,
"83:25","Муҳрли, соф покиза шароблардан ичадилар,","",,
"83:28","Бир чашма бор, ундан фақат Қурбат Аҳли ичади.","",,
"83:29","Жиноят содир этганлар имон эгалари устидан кулар эди,","",,
"83:30","Ёнларидан ўтишса, ўзаро зимдан кўз қисишарди,","",,
"83:31","Шерикларига қайтгач, ўз қилиғидан қувониб,","",,
"83:32","Имон эгаларини кўрса, дердиларки: “Булар адашган”","",,
"83:33",Ҳолбуки улар қўриқчи қилиб юборилмаганди.,"",,
"83:34","Мана бугун имон эгалари кофирларнинг устидан кулади,","",,
"83:35",Назар солиб уларга сўриларнинг устидан:,"",,
"83:36",“Кофирлар эвазларини тўлиқ олибдиларми?”,"",,
"84:1","Осмон дарз кетганида,","",,
"84:2","Раббига ҳаққи-рост бўйсуниб,","",,
"84:3","Ер теп-текис ёйилганида, (20:105–107)","",,
"84:4","Ичидагини тўкиб бўшанганида,","",,
"84:5",Раббига ҳаққи-рост бўйсуниб...,"",,
"84:6","Эй инсон, охир-оқибат Раббингга борғуси йўлда югуриб-елмоқдасан, ва албат Унга йўлиқасан. (75:5-12)","",,
"84:7","Кимнинг китоби ўнг тарафдан келса,","",,
"84:8","Енгил ҳисоб қилинади,","",,
"84:9",Ва аҳлига севиниб қайтади.,"",,
"84:10","Кимнинг китоби орт тарафдан келса,","",,
"84:11","Ўзига ўлимни чақиради, (25:12-13)","",,
"84:12","Ҳамда қизиб турган Оловни бўйлайди,","",,
"84:13","Шериклари ёнида жуда шод-хуррам эди, (83:31)","",,
"84:14",Ҳеч қачон ўзини қайтарилмайди деб санарди.,"",,
"84:15",Йўқ аксинча! Рабби уни кўриб турарди.,"",,
"84:16","Йўқ! Оқшомнинг хира қоронғусига,","",,
"84:17","Ва Кечанинг қоплаганига,","",,
"84:18","Ҳамда тўлин Ойнинг ойдинлигига қасамки,","",,
"84:19",Сиз бир ҳолдан бошқасига ўтиб борасиз!,"",,
"84:20",Нима бўлган буларга? Нега имон келтирмайдилар?,"",,
"84:21","Уларга Қуръон ўқилганда, сажда қилмайдилар/унинг амрларига таслим бўлмайдилар?","",,
"84:22","Йўқ, инкорчилар уни* Ёлғон санади. (*84:1-5 даги сўнгги манзил)","",,
"84:23",Аллоҳ эса уларнинг барча яширганини билиб туради.,"",,
"84:24",Сен уларга Аламли Азоб ҳақида хушхабар бер.,"",,
"84:25",Аммо имон келтирган ва солиҳ амал қилганларга беминнат/ўз амаллари билан эришган ажр-мукофот бор.,"",,
"85:1",Буржлар жойлашган Само,"",,
"85:2","Ҳам ваъда қилинган Кун,","",,
"85:3",Гувоҳ ва унинг гувоҳ бўлгани/иштирокчи ва иштирок этгани воқеъа.,"",,
"85:4",Димоғ эгалари ҳалок бўлди! (111:1-3),"",,
"85:5",Ўтин тўла Олов эгалари! (Ўтинлари тош ва одамлар бўлган Олов - 2:24; 111:4-5),"",,
"85:6","Мана, улар унинг/Оловнинг бошида ўтирибди.","",,
"85:7",Ва муминларга қилинган муомалага гувоҳ бўлмоқда.,"",,
"85:8-9", Улар муминларни фақатгина Азиз ва Ҳамид Аллоҳга/барчадан устун ва мақтовларга лойиқ Аллоҳга - Осмонлару-Ернинг Подшоҳлиги Унга тегишли бўлган Аллоҳга - ишонганлари учун ёмон кўрган эдилар. Аллоҳ эса барча нарса устида гувоҳ. (*Кофир ва мушрик катталари фақат ўзларига азизлик ва ҳамд нисбат этарди - 3:188),*,,
"85:8-9", Улар муминларни фақатгина Азиз ва Ҳамид Аллоҳга/барчадан устун ва мақтовларга лойиқ Аллоҳга - Осмонлару-Ернинг Подшоҳлиги Унга тегишли бўлган Аллоҳга - ишонганлари учун ёмон кўрган эдилар. Аллоҳ эса барча нарса устида гувоҳ.,*,,
"85:10","Мумин ва муминаларга фитна/тузоқ қурган, сўнг тавба қилиб қайтмаганларга Жаҳаннам азоби, ёнғин азоби бор.","",,
"85:11",Имон келтирган ва солиҳ амал қилганлар учун остидан анҳорлар оққан боғ-роғлар бор. Улкан Ютуқ ана шу.,"",,
"85:12","Ҳақиқатан, Раббингнинг чангали шиддатли.","",,
"85:13","Илк яратиб бошлаган, сўнгра қайтарган Унинг Ўзи,","",,
"85:14","Ғафур/Кечиргувчи ва Вадуд/Яхши Кўргувчи ҳам Унинг Ўзи,","",,
"85:15","Арши-Мажид/Олий Аршнинг Рабби,","",,
"85:16",Ўз иродасини мудом рўёбга чиқаради.,"",,
"85:17",Қўшинларнинг хабари келдими сенга?,"",,
"85:18",Фиръавн ҳамда Самуднинг?,"",,
"85:19","Аксинча, кофир бўлганлар ёлғон санашда,","",,
"85:20",Аллоҳ эса уларнинг ортидан қуршаб олади.,"",,
"85:21","Ҳолбуки, бу - Олий қилувчи/Мажид Қуръон,","",,
"85:22",Муҳофаза этилган лавҳаларда.,"",,
"86:1",Само ва Ториқ.,"",,
"86:2","Ториқ нима, биласанми?","",,
"86:3",Порлаган Юлдуз. (53:1),"",,
"86:4","Ҳар бир жон устида, уни кўриб-кузатиб турувчи бор,","",,
"86:5",Инсон нимадан яралганига бир боқсин,"",,
"86:6-7",бел ва қовурғалар орасидан отилиб чиққан суюқликдан яралган.,"",,
"86:6-7",бел ва қовурғалар орасидан отилиб чиққан суюқликдан яралган.,"",,
"86:8","Уни қайтаришга ҳам, албатта, қодир.","",,
"86:9","У Кунда - барча сир-асрор синалганда,","",,
"86:10","Инсонда на қувват бор, ва на бир мададкор.","",,
"86:11",Қайтишли Само.,"",,
"86:12",Ёрилишли Ер.,"",,
"86:13","Фасл/Ажралиш Сўзидир бу,","",,
"86:14",Бу ҳазил эмас.,"",,
"86:15",Улар тўсиқ қуришмоқда.,"",,
"86:16",Мен ҳам тўсиқ қурмоқдаман.,"",,
"86:17",Бу кофирларга яна бироз муҳлат бер.,"",,
"87:1",Раббингнинг Энг Олий исмини поклаб улуғла.,"",,
"87:2","У Яратган, ва бекаму-кўст қилган Зот,","",,
"87:3","Ўлчовни қўйган, ва йўллаган Зот, (20:50)","",,
"87:4","Ям-яшил яйловлар чиқариб берган Зот,","",,
"87:5",Сўнгра қоп-қора қуруқ хашак қилган Зот. (23:41),"",,
"87:6","Биз сенга Ўзимиз жамлаб берамиз/қироат қиламиз, бас сен унутмассан/қолдирмассан.","",,
"87:7","Фақат Аллоҳ истагани мустасно; (2:106) Унинг Ўзи ошкорни ҳам, яширинни ҳам билади,","",,
"87:8",Қулайлик учун сенга осон қиламиз. (19:97; 44:58; 54:17),"",,
"87:9","Сен Эслатмани етказ, Эслатма фойда берса, (51:55)","",,
"87:10","Қалбида қўрқув бўлганлар албатта Эслатма олади,","",,
"87:11","Бадбахтлар ундан чекинади,","",,
"87:12",Оқибатда Улкан Оловга киради.,"",,
"87:13","У ерда на ўлади, на яшайди.","",,
"87:14","Кимки покланса, нажот топади/муродига етади,","",,
"87:15","У Раббининг исмини эслатиб, Салот қилган/Йўлланма берган (62:9)","",,
"87:16","“Сиз дунё ҳаётини танлайсиз, бироқ","",,
"87:17",Охират яхшироқ ва давомлироқ”.,"",,
"87:18",Ўтмиш саҳифаларда ҳам айнан шулар бор,"",,
"87:19",Иброҳимнинг ва Мусонинг саҳифаларида.,"",,
"88:1",Чўлғаб олган Кун ҳақида хабар келдими сенга? (12:107),"",,
"88:2","У Кунда юзлар бор - даҳшатга тўлган,","",,
"88:3","Меҳнат қилиб чарчаган, қийналган, хорган,","",,
"88:4","Ёниб турган Оловга улоқтирилади,","",,
"88:5","Қиздирилган булоқдан ичирилади,","",,
"88:6","Таомлари фақат қуриган тикан,","",,
"88:7","На семиртиради, на тўйдиради.","",,
"88:8","У Кунда юзлар бор - неъматлар ичра,","",,
"88:9","Сайъ-ғайратидан рози бўлган ҳолда,","",,
"88:10","Олий жаннат боғида,","",,
"88:11",У ерда беҳуда сўз эшитмайдилар.,"",,
"88:12",У ерда оққан чашмалар бор.,"",,
"88:13","У ерда юксак сўрилар бор,","",,
"88:14","Ва қатор терилган қадаҳлар,","",,
"88:15","Ва қатор тизилган ёстиқлар,","",,
"88:16",Ва у ерда ёзилган гиламлар.,"",,
"88:17","Назар солмайдиларми тўп булутларга, қандай яралганига?","",,
"88:18","ҳамда шу Самога, қандай юксалганига?","",,
"88:19","ҳамда шу тоғларга, қандай қадалганига?","",,
"88:20","ҳамда шу Заминга, қандай тўшалганига?","",,
"88:21","Сен эса Эслатмани етказишда давом эт, сен фақат Эслатувчисан.","",,
"88:22",Сен улар устида ҳоким эмассан. (42:48; 50:45),"",,
"88:23","Кимки юз ўгириб, кофир бўлса/тан олмаса,","",,
"88:24",Аллоҳ Ўзи уларни Каттароқ Азобга дучор қилади. (68:33),"",,
"88:25","Уларнинг қайтиши фақат Бизга,","",,
"88:26",Кейин ҳисоб-китоблари ҳам - Бизнинг ишимиз.,"",,
"89:1","Тонг,","",,
"89:2","Ўн кеча, (7:142)","",,
"89:3","Тоқ ва жуфт,","",,
"89:4","Ва кетаётган авйти Кеча,","",,
"89:5",Ақл эгалари учун бунда олингуси қасам/ибратлар бор эмасми?,"",,
"89:6",Од қавмига Раббинг нима қилганини кўрмадингми?,"",,
"89:7",Устунлар эгаси Эрамга? ,"",,
"89:8","Ҳеч бир диёрда уларнинг мисли яратилмаган эди,","",,
"89:9",Водийда қоялар ўйган Самудга?,"",,
"89:10",Эҳромлар эгаси Фиръавнга? (38:12),"",,
